simulation_time_s,source_time_s,altitude_m_agl,vertical_velocity_mps_reference,vertical_acceleration_mps2_gravity_removed,barometer_stddev_m,is_prepad
0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.020000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.040000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.060000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.080000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.100000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.120000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.140000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.160000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.180000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.200000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.220000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.240000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.260000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.280000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.300000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.320000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.340000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.360000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.380000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.400000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.420000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.440000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.460000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.480000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.500000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.520000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.540000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.560000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.580000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.600000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.620000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.640000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.660000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.680000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.700000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.720000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.740000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.760000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.780000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.800000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.820000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.840000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.860000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.880000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.900000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.920000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.940000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.960000,0.000000,0.000000,0.000000,0.000000,1.500000,1
0.980000,0.000000,0.000000,0.000000,0.000000,1.500000,1
1.000000,0.000000,0.000000,0.381204,0.000000,1.500000,0
1.020000,0.020000,0.000000,0.000000,1.606100,1.500000,0
1.040000,0.040000,0.001465,0.211357,28.327430,1.500000,0
1.060000,0.060000,0.014730,1.256807,73.842550,1.500000,0
1.080000,0.080000,0.057480,3.183570,119.446730,1.500000,0
1.100000,0.100000,0.147717,6.004125,152.917133,1.500000,0
1.120000,0.120000,0.297400,9.011890,149.764300,1.500000,0
1.140000,0.140000,0.507400,11.964233,146.592600,1.500000,0
1.160000,0.160000,0.776100,14.876732,143.403000,1.500000,0
1.180000,0.180000,1.102300,17.766945,143.252300,1.500000,0
