# Simulation 8 (Up to date)
# 618 data points written for 4 variables.
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.01,0,0,0
0.02,0,0.0027,1.6061
0.031,2.5301e-4,0.0548,7.8752
0.041,0.0016,0.2472,30.5999
0.051,0.006,0.6669,53.3482
0.061,0.0157,1.3142,76.1197
# Event LIFTOFF occurred at t=0.071 seconds
0.071,0.033,2.1894,98.9135
0.081,0.0602,3.2926,121.7282
0.091,0.0996,4.624,144.563
0.095,0.1193,5.2205,153.7023
0.101,0.1534,6.1399,152.7601
0.11,0.2148,7.5084,151.3432
0.12,0.2974,9.0139,149.7643
0.13,0.395,10.5037,148.1808
0.14,0.5074,11.9775,146.5926
0.15,0.6345,13.4355,144.9997
0.16,0.7761,14.8775,143.403
0.17,0.932,16.3112,143.3286
0.18,1.1023,17.7441,143.2523
0.19,1.2869,19.1762,143.1742
0.1995,1.4763,20.5413,143.0977
0.2084,1.6649,21.815,143.0253
# Event LAUNCHROD occurred at t=0.217 seconds
0.2168,1.8528,23.0137,142.9577
0.224,2.0216,24.0394,142.8971
0.2348,2.2887,25.58,143.3071
0.2509,2.7205,27.899,143.9189
0.2751,3.4385,31.396,144.8249
0.288,3.8544,33.2622,145.3024
0.3073,4.5234,36.076,146.3383
0.3362,5.6292,40.3343,147.8844
0.352,6.2831,42.6712,148.721
0.3756,7.3333,46.1861,148.6965
0.4111,9.0642,51.4569,148.6338
0.418,9.4233,52.4838,148.6175
0.4284,9.9752,54.0242,148.6569
0.4439,10.833,56.3355,148.7115
0.4672,12.1872,59.8037,148.7845
0.481,13.0248,61.8525,148.8221
0.5017,14.3342,64.9224,148.4944
0.5326,16.4169,69.5133,147.9833
0.545,17.2873,71.3397,147.7719
0.5635,18.6352,74.0743,147.5006
0.5913,20.7519,78.1651,147.0747
0.61,22.2354,80.9013,146.7763
0.638,24.5559,84.9832,145.5731
0.674,27.7105,90.1856,143.9909
0.724,32.3974,97.3215,142.279
0.738,33.7734,99.3039,141.7876
0.759,35.889,102.262,140.7863
0.7905,39.1782,106.6609,139.2602
0.802,40.4133,108.2555,138.6956
0.8193,42.3002,110.6278,136.8827
0.8451,45.2063,114.1293,134.1448
0.868,47.8501,117.1673,131.7088
0.9023,51.9444,121.6261,128.2981
0.931,55.4833,125.265,125.4258
